education_level,page_title,median_pay_usd,growth_pct,openings_per_year_n,openings_rate_pct
Associate's degree,Agricultural and Food Science Technicians,51160,5,5900,14.603960396039604
Associate's degree,Environmental Science and Protection Technicians,55090,7,5300,14.56043956043956
Associate's degree,Geological and Hydrologic Technicians,57150,2,1400,13.592233009708735
Associate's degree,Nuclear Technicians,110240,1,900,13.432835820895525
Associate's degree,Chemical Technicians,60390,5,7600,12.666666666666666
Bachelor's degree,Forensic Science Technicians,72060,13,2800,13.930348258706468
Bachelor's degree,Biological Technicians,57510,7,9400,12.634408602150538
Bachelor's degree,Entertainment and Recreation Managers,79520,6,5100,11.617312072892938
Bachelor's degree,Logisticians,82320,18,26600,10.427283418267344
Bachelor's degree,Health Education Specialists,64070,6,6900,9.801136363636363
Doctoral or professional degree,Biochemists and Biophysicists,127410,12,2900,8.238636363636363
Doctoral or professional degree,Physicists and Astronomers,166880,7,1500,5.859375
Doctoral or professional degree,Medical Scientists,103410,13,10500,5.801104972375691
Doctoral or professional degree,Physical Therapists,102760,12,13400,4.723299259781459
Doctoral or professional degree,Optometrists,136570,10,2000,4.434589800443459
High school diploma or equivalent,Flight Attendants,63580,9,18500,13.836948391922212
High school diploma or equivalent,Solar Photovoltaic Installers,53140,37,4200,13.504823151125402
High school diploma or equivalent,Surveying and Mapping Technicians,54240,6,6900,11.73469387755102
High school diploma or equivalent,Chefs and Head Cooks,62470,7,25200,11.438946890603722
High school diploma or equivalent,Jewelers and Precious Stone and Metal Workers,52540,-3,3700,11.28048780487805
Master's degree,"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",59350,18,50500,9.467566554180728
Master's degree,Instructional Coordinators,77440,2,23100,9.288299155609169
Master's degree,Marriage and Family Therapists,66940,14,6900,9.043250327653997
Master's degree,Librarians and Library Media Specialists,68270,3,12600,8.854532677442023
Master's degree,"Nurse Anesthetists, Nurse Midwives, and Nurse Practitioners",134920,36,32200,8.070175438596491
No formal educational credential,Musicians and Singers,99424,0,17400,10.211267605633802
No formal educational credential,Athletes and Sports Competitors,66710,6,2200,9.60698689956332
No formal educational credential,Oil and Gas Workers,51650,2,9900,8.784383318544808
No formal educational credential,Roofers,55440,5,12000,7.189934092270821
No formal educational credential,Flooring Installers and Tile and Stone Setters,54390,4,6400,6.597938144329897
Postsecondary nondegree award,Massage Therapists,58450,15,20400,13.127413127413128
Postsecondary nondegree award,Wind Turbine Technicians,64120,30,1500,12.71186440677966
Postsecondary nondegree award,Heavy and Tractor-Trailer Truck Drivers,58640,4,214500,9.656942193408968
Postsecondary nondegree award,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",61010,11,40600,9.208437287366747
Postsecondary nondegree award,Court Reporters and Simultaneous Captioners,72420,0,1800,9.045226130653266
"Some college, no degree",Actors,60424,0,6300,9.333333333333334
